,player_name,age,player_height,player_weight,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,salary_cap,africa,asia,australia_oceania,europe,north_america,south_america,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS,experience,salary
19,Stromile Swift,26.0,205.74,104.32616,1,2,66,8.9,4.4,0.4,-3.9,0.094,0.157,0.231,0.5329999999999999,0.04,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5000000.0
20,Troy Murphy,26.0,210.82,111.13004,1,14,74,14.0,10.0,1.4,-2.9,0.084,0.252,0.193,0.529,0.066,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7365079.0
21,Tyson Chandler,23.0,215.9,106.59412,1,2,79,5.3,9.0,1.0,3.2,0.146,0.239,0.105,0.5670000000000001,0.0559999999999999,2006,71839551,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9000000.0
23,Shandon Anderson,32.0,198.12,97.52228,2,54,48,2.6,1.7,0.6,2.2,0.036,0.1159999999999999,0.119,0.47,0.072,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1035000.0
24,Steve Nash,32.0,190.5,88.45044,1,15,79,18.8,4.2,10.5,8.8,0.02,0.1119999999999999,0.233,0.632,0.435,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,9625000.0
25,Scott Padgett,30.0,205.74,108.86208,1,28,62,3.4,2.7,0.7,-7.2,0.088,0.192,0.157,0.489,0.104,2006,71839551,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1670000.0
26,Scot Pollard,31.0,210.82,120.20188,1,19,45,3.8,4.8,0.5,4.5,0.113,0.215,0.118,0.495,0.046,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6274937.0
27,Sasha Vujacic,22.0,200.66,88.45044,1,27,82,3.9,1.9,1.7,3.1,0.026,0.104,0.123,0.479,0.152,2006,71839551,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,910440.0
28,Sasha Pavlovic,22.0,200.66,95.25432,1,19,53,4.5,1.5,0.5,-0.1,0.022,0.0969999999999999,0.156,0.516,0.051,2006,71839551,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1274160.0
29,Sarunas Jasikevicius,30.0,193.04,89.357624,3,61,75,7.3,2.0,3.0,0.8,0.0139999999999999,0.094,0.178,0.561,0.257,2006,71839551,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000.0
30,Samuel Dalembert,26.0,210.82,113.398,1,26,66,7.3,8.2,0.4,-1.1,0.107,0.252,0.14,0.568,0.022,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,8470000.0
31,Samaki Walker,30.0,205.74,117.93392,1,9,7,0.3,0.4,0.0,-31.2,0.0,0.15,0.11,0.347,0.0,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,364223.0
32,Sean Marks,30.0,208.28,113.398,2,44,25,3.2,1.7,0.3,-8.8,0.081,0.218,0.2189999999999999,0.531,0.074,2006,71839551,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,835810.0
33,Sam Cassell,36.0,190.5,83.91452,1,24,78,17.2,3.7,6.3,3.9,0.018,0.103,0.247,0.534,0.31,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6875000.0
34,Ryan Gomes,23.0,200.66,113.398,2,50,61,7.6,4.9,1.0,0.0,0.092,0.173,0.16,0.5479999999999999,0.069,2006,71839551,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,428762.0
35,Ryan Bowen,30.0,205.74,99.79024,2,55,68,1.3,1.3,0.4,-5.0,0.054,0.1009999999999999,0.106,0.3379999999999999,0.062,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,900498.0
37,Royal Ivey,24.0,190.5,90.7184,2,37,73,3.6,1.3,1.0,-7.0,0.036,0.088,0.14,0.467,0.119,2006,71839551,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,641748.0
38,Ronnie Price,23.0,187.96,86.18248,3,61,29,2.1,0.5,0.4,-8.0,0.036,0.075,0.2289999999999999,0.474,0.153,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,398762.0
39,Vince Carter,29.0,198.12,99.79024,1,5,79,24.2,5.8,4.3,5.7,0.053,0.131,0.321,0.536,0.235,2006,71839551,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13843156.0
41,Salim Stoudamire,23.0,185.42,81.19296800000001,2,31,61,9.7,1.9,1.2,-5.4,0.011,0.102,0.2239999999999999,0.545,0.107,2006,71839551,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,675000.0
42,Steven Hunter,24.0,213.36,108.86208,1,15,69,6.1,3.9,0.2,-1.7,0.099,0.14,0.146,0.598,0.021,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2800000.0
