,player_name,age,player_height,player_weight,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,salary_cap,africa,asia,australia_oceania,europe,north_america,south_america,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS,experience,salary
1146,Luke Jackson,26.0,200.66,97.52228,1,10,14,5.6,2.4,1.2,-2.5,0.036,0.146,0.213,0.4379999999999999,0.134,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,279415.0
1147,Luis Scola,28.0,205.74,111.13004,2,55,82,10.3,6.4,1.3,4.1,0.0969999999999999,0.195,0.1969999999999999,0.5479999999999999,0.088,2008,75594893,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2910000.0
1150,Lorenzen Wright,32.0,210.82,115.66596,1,7,18,0.8,2.1,0.2,-3.1,0.0579999999999999,0.1889999999999999,0.083,0.317,0.044,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,3250000.0
1151,Malik Rose,33.0,200.66,115.66596,2,44,49,3.5,2.1,0.6,-5.5,0.071,0.179,0.226,0.422,0.093,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,7101250.0
1153,Lindsey Hunter,37.0,187.96,88.45044,1,10,24,2.4,0.5,1.4,4.0,0.023,0.05,0.182,0.427,0.237,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2250000.0
1154,Linas Kleiza,23.0,203.2,111.13004,1,27,79,11.1,4.2,1.2,6.0,0.053,0.138,0.188,0.585,0.076,2008,75594893,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1011360.0
1155,Leon Powe,24.0,203.2,108.86208,2,49,56,7.9,4.1,0.3,7.6,0.144,0.19,0.2239999999999999,0.629,0.036,2008,75594893,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,687456.0
1156,Leandro Barbosa,25.0,190.5,91.625584,1,28,82,15.6,2.8,2.6,3.7,0.02,0.083,0.228,0.575,0.1369999999999999,2008,75594893,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5600000.0
1157,LeBron James,23.0,203.2,113.398,1,1,75,30.0,7.9,7.2,2.4,0.049,0.178,0.3329999999999999,0.568,0.352,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13041250.0
1158,Larry Hughes,29.0,195.58,83.91452,1,8,68,12.2,3.4,2.7,-3.8,0.021,0.1119999999999999,0.22,0.4679999999999999,0.146,2008,75594893,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12000084.0
1160,Lamar Odom,28.0,208.28,104.32616,1,4,77,14.2,10.6,3.5,8.1,0.077,0.225,0.165,0.5820000000000001,0.138,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13248596.0
1161,LaMarcus Aldridge,22.0,210.82,111.13004,1,2,76,17.8,7.6,1.6,-0.1,0.098,0.161,0.254,0.523,0.086,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4329360.0
1162,Kyrylo Fesenko,21.0,215.9,130.63449599999998,2,38,9,1.6,2.8,0.2,-2.9,0.212,0.186,0.15,0.3939999999999999,0.048,2008,75594893,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,750000.0
1163,Kyle Lowry,22.0,182.88,79.3786,1,24,82,9.6,3.0,3.6,-5.2,0.022,0.113,0.184,0.531,0.2239999999999999,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1087680.0
1165,Kyle Korver,27.0,198.12,95.707912,2,51,75,9.9,2.3,1.3,6.6,0.015,0.103,0.186,0.585,0.095,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4400000.0
1166,Manu Ginobili,30.0,198.12,92.98636,2,57,74,19.5,4.8,4.5,8.7,0.033,0.145,0.281,0.612,0.257,2008,75594893,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,9079811.0
1167,Marco Belinelli,22.0,195.58,87.089664,1,18,33,2.9,0.4,0.5,-10.1,0.011,0.05,0.184,0.49,0.099,2008,75594893,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1345800.0
1168,Michael Finley,35.0,200.66,102.0582,1,21,82,10.1,3.1,1.4,5.7,0.015,0.12,0.188,0.519,0.084,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,3103000.0
1169,Michael Doleac,31.0,210.82,118.841104,1,12,24,2.4,2.0,0.3,-9.2,0.066,0.151,0.129,0.446,0.0409999999999999,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,3120000.0
1170,Metta World Peace,28.0,200.66,112.490816,1,16,57,20.5,5.8,3.5,1.2,0.055,0.119,0.254,0.535,0.157,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,7400000.0
1171,Melvin Ely,30.0,208.28,118.38751200000002,1,12,52,3.9,2.8,0.4,9.9,0.054,0.207,0.193,0.491,0.055,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,895341.0
1172,Mehmet Okur,29.0,210.82,119.294696,2,37,72,14.5,7.7,2.0,7.4,0.069,0.213,0.1989999999999999,0.556,0.089,2008,75594893,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,8500000.0
1173,Maurice Evans,29.0,195.58,99.79024,3,61,75,8.9,2.9,1.1,5.0,0.065,0.084,0.165,0.5710000000000001,0.072,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1740000.0
1174,Maurice Ager,24.0,195.58,91.625584,1,28,26,2.0,0.5,0.3,-10.3,0.027,0.062,0.216,0.363,0.085,2008,75594893,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,974400.0
1175,Matt Harpring,32.0,200.66,104.32616,1,15,76,8.2,3.2,1.1,0.6,0.084,0.13,0.215,0.551,0.099,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,6000000.0
1176,Matt Carroll,27.0,198.12,96.161504,3,61,80,9.0,2.8,0.9,-2.7,0.019,0.111,0.159,0.5539999999999999,0.0579999999999999,2008,75594893,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5450000.0
1177,Matt Bonner,28.0,208.28,108.86208,2,45,68,4.8,2.8,0.5,6.1,0.074,0.187,0.196,0.525,0.066,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2678000.0
1178,Matt Barnes,28.0,200.66,102.511792,2,45,73,6.7,4.4,1.9,1.6,0.067,0.181,0.166,0.51,0.136,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3000000.0
1179,Marcin Gortat,24.0,213.36,108.86208,2,57,6,3.0,2.7,0.3,-0.3,0.2,0.25,0.223,0.491,0.08,2008,75594893,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,427163.0
1180,Marvin Williams,22.0,205.74,104.32616,1,2,80,14.8,5.7,1.7,-2.4,0.051,0.141,0.203,0.54,0.083,2008,75594893,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4466040.0
1181,Marquis Daniels,27.0,198.12,90.7184,3,61,74,8.2,2.9,1.9,0.7,0.046,0.103,0.205,0.487,0.144,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6373900.0
1182,Marko Jaric,29.0,200.66,101.604608,2,30,75,8.3,3.0,4.1,-9.0,0.019,0.1009999999999999,0.15,0.518,0.213,2008,75594893,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,6050000.0
1183,Mark Madsen,32.0,205.74,113.398,1,29,20,0.5,1.9,0.2,-1.7,0.126,0.148,0.096,0.185,0.0409999999999999,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2420000.0
1184,Mark Blount,32.0,213.36,113.398,2,54,69,8.4,3.8,0.6,-11.5,0.052,0.149,0.201,0.505,0.048,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7901040.0
1185,Mario West,24.0,195.58,95.25432,3,61,64,0.9,0.8,0.2,2.1,0.12,0.098,0.115,0.488,0.072,2008,75594893,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427163.0
1186,Mardy Collins,23.0,198.12,99.79024,1,29,46,3.2,1.6,1.9,-11.5,0.032,0.099,0.174,0.3779999999999999,0.221,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,967320.0
1188,Marcus Williams,22.0,190.5,92.98636,1,22,53,5.9,1.9,2.6,-11.2,0.019,0.124,0.212,0.499,0.285,2008,75594893,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1180200.0
1190,Marcus Camby,34.0,210.82,106.59412,1,2,79,9.1,13.1,3.3,4.9,0.093,0.308,0.129,0.498,0.126,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11250000.0
1191,Marcus Banks,26.0,187.96,96.161504,1,13,36,6.6,1.3,1.7,-6.4,0.008,0.078,0.201,0.579,0.179,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3966207.0
1192,Martell Webster,21.0,200.66,103.872568,1,6,75,10.7,3.9,1.2,-3.3,0.03,0.135,0.179,0.5479999999999999,0.068,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2974080.0
1193,Kwame Brown,26.0,210.82,122.46984,1,1,38,4.8,4.9,1.2,-4.9,0.081,0.203,0.148,0.497,0.099,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9075000.0
1194,Kurt Thomas,35.0,205.74,106.59412,1,10,70,6.3,7.2,1.0,-1.9,0.093,0.261,0.138,0.514,0.065,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,8091188.0
1195,Kris Humphries,23.0,205.74,106.59412,1,14,70,5.7,3.7,0.4,-1.6,0.108,0.217,0.2189999999999999,0.512,0.053,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2522913.0
1196,Jorge Garbajosa,30.0,205.74,111.13004,3,61,7,3.1,2.1,0.4,-8.4,0.0279999999999999,0.25,0.168,0.44,0.067,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4000000.0
1197,Jordan Farmar,21.0,187.96,81.64656,1,26,82,9.1,2.2,2.7,8.6,0.027,0.092,0.204,0.563,0.209,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1009560.0
1198,John Salmons,28.0,198.12,93.893544,1,26,81,12.5,4.3,2.6,-5.8,0.037,0.126,0.1939999999999999,0.556,0.138,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,4752000.0
1199,Johan Petro,22.0,213.36,112.037224,1,25,72,6.0,5.1,0.4,-11.3,0.08,0.228,0.179,0.4529999999999999,0.039,2008,75594893,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1077120.0
1200,Joey Graham,26.0,200.66,102.0582,1,16,38,3.6,1.8,0.4,1.6,0.064,0.186,0.223,0.52,0.071,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1596600.0
1201,Joel Przybilla,28.0,215.9,115.66596,1,9,77,4.8,8.4,0.4,-2.6,0.128,0.29,0.105,0.611,0.023,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,5762575.0
1202,Joel Anthony,25.0,205.74,111.13004,3,61,24,3.5,3.9,0.1,-13.9,0.091,0.135,0.099,0.521,0.011,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427163.0
1203,Joe Smith,32.0,208.28,102.0582,1,1,77,10.1,5.2,0.9,-1.3,0.103,0.163,0.212,0.524,0.068,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5200000.0
1204,Joe Johnson,27.0,200.66,106.59412,1,10,82,21.7,4.5,5.8,-0.9,0.0289999999999999,0.098,0.257,0.535,0.251,2008,75594893,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13488377.0
1205,Joakim Noah,23.0,210.82,105.233344,1,9,74,6.6,5.6,1.1,-0.4,0.124,0.182,0.155,0.539,0.087,2008,75594893,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2135400.0
1206,Josh Boone,23.0,208.28,107.501304,1,23,70,8.2,7.3,0.8,-4.4,0.121,0.1989999999999999,0.151,0.5429999999999999,0.05,2008,75594893,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1133040.0
1207,Jerry Stackhouse,33.0,198.12,98.883056,1,3,58,10.7,2.3,2.5,2.5,0.027,0.077,0.2189999999999999,0.523,0.171,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6750000.0
1208,Jermareo Davidson,23.0,208.28,104.32616,2,36,38,3.2,1.6,0.3,-11.3,0.071,0.144,0.22,0.437,0.077,2008,75594893,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,427163.0
1209,Jermaine O'Neal,29.0,210.82,117.93392,1,17,42,13.6,6.7,2.2,-1.3,0.071,0.188,0.248,0.489,0.13,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19728000.0
1210,Jeremy Richardson,24.0,200.66,88.45044,3,61,27,1.5,0.3,0.1,-22.7,0.008,0.079,0.174,0.457,0.0279999999999999,2008,75594893,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,253499.0
1211,Jelani McCoy,30.0,208.28,111.13004,2,33,6,0.5,1.2,0.0,-18.1,0.038,0.222,0.081,0.7979999999999999,0.0,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,151089.0
1212,Jeff McInnis,33.0,193.04,86.18248,2,37,54,4.5,1.8,4.1,-7.5,0.0139999999999999,0.069,0.113,0.461,0.239,2008,75594893,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1219590.0
1213,Jeff Green,21.0,205.74,106.59412,1,5,80,10.5,4.7,1.5,-11.0,0.05,0.136,0.195,0.491,0.0819999999999999,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3058200.0
1214,Jeff Foster,31.0,210.82,113.398,1,21,77,6.4,8.7,1.7,-0.7,0.145,0.242,0.115,0.568,0.103,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5500000.0
1215,Javaris Crittenton,20.0,195.58,90.7184,1,19,50,5.6,2.2,1.0,-2.5,0.043,0.131,0.216,0.499,0.121,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1285200.0
1216,Jason Williams,32.0,185.42,81.64656,1,7,67,8.8,1.9,4.6,-11.1,0.0069999999999999,0.078,0.166,0.502,0.255,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8937500.0
1217,Jason Terry,30.0,187.96,81.64656,1,10,82,15.5,2.5,3.2,6.0,0.0139999999999999,0.077,0.216,0.574,0.175,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8898000.0
1218,Jason Smith,22.0,213.36,108.86208,1,20,76,4.5,3.0,0.3,-0.5,0.081,0.1639999999999999,0.159,0.491,0.0279999999999999,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1233840.0
1219,Jerome James,32.0,215.9,129.27372,2,36,2,2.0,1.5,0.0,52.2,0.0,0.6,0.19,1.064,0.0,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,5800000.0
1220,Josh Childress,25.0,203.2,95.25432,1,6,76,11.8,4.9,1.5,-2.7,0.09,0.102,0.156,0.647,0.088,2008,75594893,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3631449.0
1221,Tim Thomas,31.0,208.28,108.86208,1,7,63,12.4,5.1,2.7,-6.5,0.037,0.156,0.207,0.505,0.154,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5632200.0
1222,Josh McRoberts,21.0,208.28,108.86208,2,37,8,1.5,1.3,0.3,23.0,0.077,0.276,0.18,0.6,0.111,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,427163.0
1223,Kosta Perovic,23.0,218.44,108.86208,2,38,7,1.4,1.9,0.1,2.7,0.15,0.1889999999999999,0.148,0.396,0.045,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1800000.0
1224,Kobe Bryant,29.0,198.12,92.98636,1,13,82,28.3,6.3,5.4,8.5,0.034,0.141,0.312,0.5760000000000001,0.236,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19490625.0
1225,Kirk Snyder,25.0,198.12,102.0582,1,16,36,7.3,3.5,1.8,-2.4,0.046,0.149,0.168,0.573,0.122,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2358433.0
1226,Kirk Hinrich,27.0,190.5,86.18248,1,7,75,11.5,3.3,6.0,-2.6,0.013,0.107,0.1889999999999999,0.501,0.303,2008,75594893,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11250000.0
1227,Keyon Dooling,28.0,190.5,88.45044,1,10,72,8.1,1.4,1.8,6.4,0.006,0.079,0.201,0.5720000000000001,0.177,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,3596000.0
1228,Kevin Ollie,35.0,187.96,88.45044,3,61,40,1.8,0.5,1.0,8.5,0.015,0.062,0.118,0.4629999999999999,0.177,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,3441900.0
1229,Kevin Martin,25.0,200.66,83.91452,1,26,61,23.7,4.5,2.1,-1.4,0.026,0.1169999999999999,0.259,0.618,0.0969999999999999,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1808121.0
1230,Kevin Garnett,32.0,210.82,99.79024,1,5,71,18.8,9.2,3.4,17.0,0.075,0.246,0.257,0.588,0.186,2008,75594893,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23750000.0
1231,Kevin Durant,19.0,205.74,97.52228,1,2,80,20.3,4.4,2.4,-11.7,0.027,0.111,0.278,0.519,0.12,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4171200.0
1232,Kenyon Martin,30.0,205.74,108.86208,1,1,71,12.4,6.5,1.3,3.1,0.055,0.175,0.176,0.5529999999999999,0.062,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13250000.0
1233,Kenny Thomas,30.0,200.66,111.13004,1,22,23,1.4,2.7,0.6,-17.8,0.075,0.195,0.0969999999999999,0.3979999999999999,0.074,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,7875000.0
1234,Kendrick Perkins,23.0,208.28,119.748288,1,27,78,6.9,6.1,1.1,14.6,0.098,0.19,0.136,0.632,0.063,2008,75594893,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4480912.0
1235,Kelenna Azubuike,24.0,195.58,99.79024,3,61,81,8.5,4.0,0.9,0.7,0.063,0.138,0.172,0.534,0.063,2008,75594893,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,687456.0
1236,Keith Langford,24.0,193.04,97.52228,3,61,2,1.0,1.0,0.0,35.9,0.0,0.154,0.18,0.25,0.0,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,272316.0
1237,Keith Bogans,28.0,195.58,97.52228,2,43,82,8.7,3.2,1.3,7.4,0.023,0.111,0.144,0.5589999999999999,0.071,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2440000.0
1239,Kareem Rush,27.0,198.12,97.52228,1,20,71,8.3,2.4,1.3,-2.5,0.013,0.113,0.188,0.5,0.0969999999999999,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,854957.0
1240,Kaniel Dickens,29.0,203.2,97.52228,2,50,5,0.4,0.2,0.2,0.8,0.0,0.111,0.125,0.3329999999999999,0.1669999999999999,2008,75594893,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,264897.0
